Title,Year,Number of Songs,Film Director,Film Producer,Film cast,Lyricist,Music Director,Singer,External links,Watch Full Movie
Lal Salaam,(2002),6,Gaganvihari Borate,Sanjiv Karambelkar,"Nandita Das, Sharad Kapoor, Sayaji Shinde, Makrand Deshpande, Rajpal Yadav, Vijay Raaz, Akhilendra Mishra, Vishwajeet Pradhan, Hemangini, Anant Jog, Sushil Johri, Nagesh Bhonsle, Sanjay Shrivastava, Mahendra, Jyoti, Ashraf, Parveen Bano, Uday Tikekar",Gulzar,Hridaynath Mangeshkar,"Lata Mangeshkar, Roop Kumar Rathod, Ravindra Sathe",https://www.imdb.com/title/tt0316154,
Life Partner,(2009),7,Rumi Jaffery,"Abbas Burmawalla, Hussain Burmawala, Mustan Burmawalla","Fardeen Khan, Tusshar Kapoor, Govinda, Genelia Dsouza, Prachi Desai, Anupam Kher, Amrita Rao, Vikram Gokhale, Darshan Jariwala, Shoma Anand, Vivek Shauq, Jagdeep, Rana Jung Bahadur, Himani Shivpuri, Master Ali Haji, Rajesh Jais, Sheetal Gori","Javed Akhtar, Kumar (1)",Pritam Chakraborty,"Ajay Jhingran, Antara Mitra, Debojit Dutta, Kirti Sagathia, Kunal Ganjawala, Mika Singh, Shaan, Shakti Singh, Shreya Ghoshal, Soham Chakrabarthy, Sunidhi Chauhan","https://www.imdb.com/title/tt1229366, http://en.wikipedia.org/wiki/Life_Partner",
London Dreams,(2009),11,Vipul Shah,Aashin Shah,"Salman Khan, Ajay Devgn, Asin, Rannvijay Singh, Aditya Roy Kapoor, Om Puri, Khalid Azmi, Michael Gamarano, Babsy Artner, Brinda Parekh, Manoj Pahwa",Prasoon Joshi,"Shankar Mahadevan, Ehsaan Noorani, Loy Mendonca","Abhijit Ghoshal, Feroz Khan (1), Mohan (1), Rahat Fateh Ali Khan, Roop Kumar Rathod, Shankar Mahadevan, Vishal Dadlani, Zubeen Garg","https://www.imdb.com/title/tt0486615, http://en.wikipedia.org/wiki/London_Dreams",https://www.youtube.com/watch?v=Ekfbeu0yJRo
Luck,(2009),9,Soham Shah,Dhillin Mehta,"Sanjay Dutt, Mithun Chakraborty, Danny Denzongpa, Imran Khan, Ravi Kissen, Shruti Haasan, Rati Agnihotri, Chitrashi Rawat, Snita Mahey, Snehal Dhabi, Daya Shanker Pandey, Roopa Ganguly, Srinivasa Rao Kota","Anvita Dutt Guptan, Shabbir Ahmed","Salim Merchant, Sulaiman Merchant","Anushka Manchanda, Clinton Cerejo, D J Amyth, Naresh Kamat, Robert Bob Omulo, Salim Merchant, Satya Hinduja, Shruti Haasan, Shruti Pathak, Sukhwinder Singh, Sulaiman Merchant","https://www.imdb.com/title/tt1242782, http://en.wikipedia.org/wiki/Luck_%28film%29",https://www.youtube.com/watch?v=AOUqjYgFaeg
Madhumati,(1958),11,Bimal Roy,"Bimal Roy, Chandra, Moni Bhattacharya, Vasant (1)","Dilip Kumar, Vyjayantimala, Tarun Bose, Johny Walker, Pran, Jayant, Tiwari, Jagdish Raaj, Misra, Baij Sharma, Bhudo Advani, Jagdish, Sagar",Shailendra,Salil Chowdhary,"Lata Mangeshkar, Manna Dey, Mohammed Rafi, Mukesh","https://www.imdb.com/title/tt0050665, http://en.wikipedia.org/wiki/Madhumati","https://www.youtube.com/watch?v=xu1oY8Z-_Po, https://www.youtube.com/watch?v=dhkqNWctj4Y"
Maine Pyar Kiya,(1989),10,Sooraj Barjatya,Tarachand Barjatya,"Salman Khan, Bhagyashree, Alok Nath, Mohnish Behl, Reema Lagoo, Laxmikant Berde, Rajeev Varma, Ajit Vachchani, Harish Patel, Deep Dhillon, Huma Khan, Dilip Joshi, Parveen Dastu, Bhagwan, Raju Shrivastava, Rakesh Shrivastav, Sushil Johri, Shekhar, Chhaya","Assad Bhopali, Dev Kohli",Ram Lakshman,"Lata Mangeshkar, S.P.Balasubramaniam, Shailendra Singh, Usha Mangeshkar","https://www.imdb.com/title/tt0100095, http://en.wikipedia.org/wiki/Maine_Pyar_Kiya","https://www.youtube.com/watch?v=ahfrB8ZIcso, https://www.youtube.com/watch?v=9z3LKOrn3BM"
Mehboob Ki Mehndi,(1971),8,H S Rawail,H S Rawail,"Rajesh Khanna, Leena Chandavarkar, Pradeep Kumar, Sunder, Manorama, Iftekhar, Paro, Jagdishraj, Mumtaz Begum, Sudhir, Kamal Kapoor, Gurnam, Dilip Dutt, Rafia Sultana, Madhumati",Anand Bakshi,"Laxmikant Kudalkar, Pyarelal","Hemlata, Kishore Kumar, Lata Mangeshkar, Mohammed Rafi","https://www.imdb.com/title/tt0266757, http://en.wikipedia.org/wiki/Mehboob_Ki_Mehndi",https://www.youtube.com/watch?v=nREV6Ct3mXo
Mera Saaya,(1966),6,Raj Khosla,Premji,"Sunil Dutt, Sadhana, Prem Chopra, Dhumal, Mukri, Manmohan, K N Singh, Anwar Hussan, Indu Shivraj, Ratna Mala, Nazir, Birbal, Jagdish Sethi, Narbada Shankar, Tiwari","Ali Khan, Mehdi Raja",Madan Mohan,"Asha Bhosle, Lata Mangeshkar, Mohammed Rafi, Sadhana, Sunil Dutt","https://www.imdb.com/title/tt0060689, http://en.wikipedia.org/wiki/Mera_Saaya","https://www.youtube.com/watch?v=FBcJreWS2oM, https://www.youtube.com/watch?v=NVK4848S5UU"
Mother India,(1957),12,Mehboob Khan,,"Nargis, Raaj Kumar, Sunil Dutt, Rajendra Kumar, Kumkum, Mukri, Azra, Fakir Mohd, Sitara Devi, Sajid Khan, Kanhaiya Lal, Jillo, Chanchal, Geeta",Shakeel Badayuni,Naushad Ali,"Lata Mangeshkar, Manna Dey, Mohammed Rafi, Asha Bhosle, Shamshad Begum, Usha Mangeshkar","https://www.imdb.com/title/tt0050188, http://en.wikipedia.org/wiki/Mother_India","https://www.youtube.com/watch?v=HWyIJ92Acjg, https://www.youtube.com/watch?v=aEtn3QkIMRY"
Mr. & Mrs. 55,(1955),9,Guru Dutt,,"Guru Dutt, Madhubala, Kum Kum, Johny Walker, Lalita Pawar, Cuckoo, Yasmeen, Agha","Majrooh Sultanpuri, Saroj Mohini Nayyar",O P Nayyar,"Geeta Dutt, Mohammed Rafi, Shamshad Begum","https://www.imdb.com/title/tt0048392, http://en.wikipedia.org/wiki/Mr._%26_Mrs._%2755","https://www.youtube.com/watch?v=FlE4w6PI6yM, https://www.youtube.com/watch?v=DL4TNSzAOq4"
Muqaddar Ka Sikandar,(1978),8,Prakash Mehra,Prakash Mehra,"Amitabh Bachchan, Rekha, Vinod Khanna, Rakhee, Ranjeet, Amjad Khan, Kader Khan, Nirupa Roy, Jairaj, Shreeram Lagoo, Goga Kapoor, Ram Sethi, Master Mayur, Vikas Anand, Yusuf Khan, Manmohan Krishna, Sulochana, Harish, Mayur, Moolchand, Nandita Thakur","Anjaan, Prakash Mehra","Kalayanji, Anandji","Asha Bhosle, Hemlata, Kishore Kumar, Lata Mangeshkar, Mahendra Kapoor, Mohammed Rafi","https://www.imdb.com/title/tt0079590, http://en.wikipedia.org/wiki/Muqaddar_Ka_Sikandar",
Maa Tujhe Salaam,(2002),7,Tinu Verma,Mahendra Dhariwal,"Sunny Deol, Tabu, Arbaaz Khan, Tinu Verma, Sudesh Berry, Rajat Bedi, Malaika Arora, Om Puri, Monal, Mohan Joshi, Sharat Saxena, Vivek Shauq, Deep Dhillon, Brij Gopal, Ali Khan, Rana Jung Bahadur, Jeetu Verma, Prithvi, Anang Desai, Avtar Gill, Inder Kumar, Sheila Sharma","Vicky Sagar, Sanjay Sankla, Tejpal Kaur, Sameer","Sajid, Wajid","Udit Narayan, Kavita Krishnamurthy, Alka Yagnik, Sonu Nigam, Sunidhi Chauhan, Asha Bhosle, Shankar Mahadevan","https://www.imdb.com/title/tt0307116, http://en.wikipedia.org/wiki/Maa_Tujhhe_Salaam_%28film%29","https://www.youtube.com/watch?v=F4PkGizmXXQ, https://www.youtube.com/watch?v=qpIatSrxvcA"
Maachis,(1996),10,Gulzar,R V Pandit,"Chandrachur Singh, Tabu, Raj Zutshi, Kanwaljeet Singh, Om Puri, Kulbhushan Kharbanda, Amrik Gill, Sunil Sinha, Jimmy Sheirgill, Jasjeet Shergill, S. M. Zaheer, Bharat Bhushan, Devendra Malhotra",Gulzar,Vishal Bhardwaj,"Hariharan, K K, Lata Mangeshkar, Sanjeev Abhyankar, Suresh Wadkar","https://www.imdb.com/title/tt0116950, http://en.wikipedia.org/wiki/Maachis","https://www.youtube.com/watch?v=zxS9X6NW-OU, https://www.youtube.com/watch?v=NuZhFDbWk-A"
Maang Bharo Sajna,(1980),7,T Rama Rao,Purnachandra Rao,"Jeetendra, Rekha, Moushmi Chatterjee, Kajal Kiran, Om Shiv Puri, Yunus Parvez, Asrani, Vikas Anand",Anand Bakshi,"Laxmikant Kudalkar, Pyarelal","Lata Mangeshkar, Asha Bhosle, Kishore Kumar","https://www.imdb.com/title/tt0260152, http://en.wikipedia.org/wiki/Maang_Bharo_Sajana",https://www.youtube.com/watch?v=YNWfJHveXcA
Made In India (Alisha Chinai),(1995),11,,Biddu,Alisha,"Biddu, Alisha, Shyam Anuragi","Biddu, Alisha",Alisha Chinai,,
Mahaan,(1983),7,S Ramanathan,"Satyanarayana, Surynara","Amitabh Bachchan, Zeenat Aman, Parveen Babi, Waheeda Rehman, Aruna Irani, Ashok Kumar, Kader Khan, Shakti Kapoor, Amjad Khan, Sujit Kumar, Mac Mohan, Mukri, Iftekhar, Gurubachan Singh",Anjaan,R D Burman,"Asha Bhosle, Kishore Kumar, Amit Kumar, Amitabh Bachchan, R D Burman","https://www.imdb.com/title/tt0085886, http://en.wikipedia.org/wiki/Mahaan",
Mahal,(1949),7,Kamal Amrohi,Ashok Kumar,"Ashok Kumar, Madhubala, Vijay Laxmi, Kumar, Kanu Rao, Sheela Nayak, E Tarapore, Leela Pandey, Neelam, Jagannath, Raja Salim",Nakshab Jarchvi,Khemchand Prakash,"Lata Mangeshkar, Zohrabai, Rajkumari","https://www.imdb.com/title/tt0041619, http://en.wikipedia.org/wiki/Mahal_%281949_film%29","https://www.youtube.com/watch?v=Ka38KgKf5_4, https://www.youtube.com/watch?v=syFpm1HO6gY"
Main Chup Rahungi,(1962),7,A Bhim Singh,,"Sunil Dutt, Meena Kumari, Babloo, Jagirdar, Nana Palsikar, Mohan Choti, Helen, Raj Mehra, Umesh Sharma",Rajendra Krishan,Chitragupta,"Lata Mangeshkar, Mohammed Rafi","https://www.imdb.com/title/tt0056213, http://en.wikipedia.org/wiki/Main_Chup_Rahungi",
Main Hoon Na,(2004),10,Farah Khan,"Gauri Khan, Shahrukh Khan","Shahrukh Khan, Sushmita Sen, Zayed Khan, Amrita Rao, Suniel Shetty, Kirron Kher, Bindu, Satish Shah, Boman Irani, Rakhi Sawant, Kabir Bedi, Naseruddin Shah, Murli Sharma, Nassar Abdulla, Kunal Kumar, Sajid Khan, Subhan Nadiadwala, Mushtaq Sheikh",Javed Akhtar,Anu Malik,"Abhijeet, Alka Yagnik, Altaf Sabri, Anu Malik , Hashim Sabri, K K, Ranjit Barot, Shreya Ghoshal, Sonu Nigam, Sunidhi Chauhan, Vasundhara Das","https://www.imdb.com/title/tt0347473, http://en.wikipedia.org/wiki/Main_Hoon_Na",
Main Nashe Mein Hoon,(1959),9,Naresh Saigal,,"Raj Kapoor, Mala Sinha, Nishi, Mubarak, Dhumal, Leela Chitnis, Ramesh Kapoor, Helen, Maruti, Dinshaw, Nasir Hussain, Jamal, Mahendra, Keshav, Jagdish Sethi, Dilip, Ali Razak, Jai Kumar, Shrivasatava, Sudesh Kumar, Afzal, Poornima","Hasrat Jaipuri, Shailendra","Dattaram Wadkar, Shankarsinh Raghuwanshi, Jaikishan Dayabhai Pankal","Lata Mangeshkar, Mohammed Rafi, Mukesh, Usha Mangeshkar",https://www.imdb.com/title/tt0053035,https://www.youtube.com/watch?v=ozJ1R82lf18
Main Prem Ki Diwani Hoon,(2003),12,Sooraj Barjatya,"Kamal Kumar Barjatya, Rajkumar Barjatya","Hrithik Roshan, Kareena Kapoor, Abhishek Bachchan, Pankaj Kapoor, Tanaz Currim, Shobha Khote, Farida Jalal, Ruby Bhatia, Javed Jaffrey, Reema Lagoo, Johny Lever, Himani Shivpuri, Kunal Vijaykar, Upasna Singh, Vrajesh Hirjee, Raju Shrivastava, Perizaad Kolah",Dev Kohli,Anu Malik,"Chitra, K K, Kareena Kapoor, Shaan, Sunidhi Chauhan","https://www.imdb.com/title/tt0265148, http://en.wikipedia.org/wiki/Main_Prem_Ki_Diwani_Hoon",https://www.youtube.com/watch?v=3nronLqozk8
Main Tera Hero,(2014),8,David Dhawan,"Ekta Kapoor, Shobha Kapoor","Varun Dhawan, Ileana DCruz, Nargis Fakhri, Anupam Kher, Abhimanyu Shekhar Singh, Evelyn Sharma, Arunoday Singh, Rajpal Yadav, Shireesh Sharma","Kausar Munir,  Kumaar","Sajid, Wajid","Benny Dayal, Shalmali Kholgade","https://www.imdb.com/title/tt2762334, http://en.wikipedia.org/wiki/Main_Tera_Hero",
Main Tulsi Tere Aangan Ki,(1978),7,"Raj Khosla, Sudesh Issar",Raj Khosla,"Nutan, Vijay Anand, Asha Parekh, Vinod Khanna, Deb Mukherjee, Neeta Mehta, C S Dube, Goga Kapoor, Geeta Behl, Jagdish Raaj, Bhagwan, Trilok Kapoor, Heena Kausar, Birbal, Amrit Lakhan pal, Naaz, Anand Pal, Master Ravi, Parveen Paul",Anand Bakshi,"Laxmikant Kudalkar, Pyarelal","Anuradha Paudwal, Asha Bhosle, Hemlata, Lata Mangeshkar, Mohammed Rafi, Shobha","https://www.imdb.com/title/tt0151466, http://en.wikipedia.org/wiki/Main_Tulsi_Tere_Aangan_Ki",https://www.youtube.com/watch?v=IaKsQ18i-J8
Maine Dil Tujhko Diya,(2002),9,Sohail Khan,"Bunty Walia, Sohail Khan","Sohail Khan, Sameera Reddy, Kabir Bedi, Neeraj Vora, Sanjay Dutt, Rajpal Yadav, Dalip Tahil, Sarfaraz Khan, Aasif Sheikh, Archana Puran Singh, Vikas Sharma, Bobby Darling, Eijaz Khan","Faiz Anwar, Gufi Paintal, Jalees Sherwani, Praveen Bhardwaj, Salim Bijnauri",Dabboo Malik,"Abhijeet, Alka Yagnik, Anuradha Paudwal, Ayub, Dabboo Malik, Jordy Patel, Nayan Rathod, Pankaj, Sonu Nigam, Sunidhi Chauhan, Surjit Ahuja, Udit Narayan","https://www.imdb.com/title/tt0326600, http://en.wikipedia.org/wiki/Maine_Dil_Tujhko_Diya",
Nagin,(1954),13,Nandalal Jaswantlal,,"Pradeep Kumar, Vyjayantimala, Jeevan, Mubarak, Sulochana, I S Johar, Krishan Kumari",Rajinder Krishan,Hemant Kumar,"Asha Bhosle, Hemant Kumar, Lata Mangeshkar","https://www.imdb.com/title/tt0048410, http://en.wikipedia.org/wiki/Nagin_%281954_film%29","https://www.youtube.com/watch?v=mCGfohQMVyM, https://www.youtube.com/watch?v=Su6vKZQl4o0"
Naya Daur,(1957),9,B R Chopra,B R Chopra,"Dilip Kumar, Ajit, Jeevan, Manmohan Krishan, Daisy Irani, Vyjayantimala, Chand Usmani, Nasir Husain, Leela Chitnis, S N Banerjee, Pratima Devi, Radha Kishan, Johnny Walker, Kumkum, Minu Mumtaz, Moolchand, Babu, Nazir, Ravi Kant, Sagar, Uma Dutt, Laxman, Nazir Kashmiri, Raju, Shashi",Sahir Ludhianvi,O P Nayyar,"Asha Bhosle, Balbir, Mohammed Rafi, Shamshad Begum","https://www.imdb.com/title/tt0050758, http://en.wikipedia.org/wiki/Naya_Daur_%281957_film%29","https://www.youtube.com/watch?v=YqdoRIRBBfs, https://www.youtube.com/watch?v=8CHQCaDfRmQ"
Nikaah,(1982),6,Geeta Priya,Dharam Priya Das,"Ajay Handa, Baby Sapna, Master Fayyaz, Babbu Dinkar, Raza Murad, Rakesh Bedi","Hasrat Mohani, Hasan Kamal","Ghulam Ali, Ravi","Salma Agha, Mahendra Kapoor, Ghulam Ali, Asha Bhosle","https://www.imdb.com/title/tt0158827, http://en.wikipedia.org/wiki/Nikaah","https://www.youtube.com/watch?v=_B5Zmb3nfMQ, https://www.youtube.com/watch?v=B60AWMotIks"
Naajayaz,(1995),7,Mahesh Bhatt,Mukesh Bhatt,"Ajay Devgn, Juhi Chawla, Naseruddin Shah, Deepak Tijori, Reema Lagoo, Aashish Vidyarthi, Gulshan Grover, Abhimanyu Shekhar Singh, Tiku Talsania, Srivallabh Vyas, Charlie, Nilofer, Parveen, S. M. Zaheer, Disco Shanti, Makrand Deshpande, Rana Jung Bahadur, Sunil Rege, Gavin Packard, Robert Slater","Fakir Mohd Brij, Indeevar, Maya Govind, Pushpa, Rahat Indori, Sudarshan (1), Verma",Anu Malik,"Alka Yagnik, Ila Arun, Kumar Sanu, Roop Kumar Rathod, Sonu Nigam","https://www.imdb.com/title/tt0113913, http://en.wikipedia.org/wiki/Naajayaz",https://www.youtube.com/watch?v=8DwprcjWNPM
Naam,(1986),6,Mahesh Bhatt,"Kumar Gaurav, Rajendra Kumar","Kumar Gaurav, Poonam Dhillon, Sanjay Dutt, Amrita Singh, Paresh Rawal, Nutan, Akash Khurana, Ram Mohan, Ghanshyam, Kamal Deep, Pankaj Udhas, Gurbachan, Ashutosh Gowariker, Rita Rani Kaul, Mohan Sherry, Shehnaz Anand, Poornima, Praveen Sood, Dharmesh Tiwari, Rajesh Singh, Kamal Chopra",Anand Bakshi,"Laxmikant Kudalkar, Pyarelal","Kavita Krishnamurthy, Lata Mangeshkar, Manhar Udhas, Mohammad Aziz, Pankaj Udhas","https://www.imdb.com/title/tt0091598, http://en.wikipedia.org/wiki/Naam_%281986_film%29","https://www.youtube.com/watch?v=1wn9l91LVpI, https://www.youtube.com/watch?v=nBKRKjun3_c"
Nadiya Ke Paar,(1982),6,Govind Moonis,Tarachand Barjatya,"Sachin Pilgaonkar, Sadhna Singh, Mitali, Leela Mishra, Inder Thakur, Savita Bajaj, Shiela, Ram Mohan, Soni",Ravindra Jain,Ravindra Jain,"Hemlata, Suresh Wadkar, Jaspal Singh","https://www.imdb.com/title/tt0256951, http://en.wikipedia.org/wiki/Nadiya_Ke_Paar",
Nagin,(1976),5,Rajkumar Kohli,"Parshuram, Rajkumar Kohli, Sarkar","Jeetendra, Sunil Dutt, Reena Roy, Mumtaz, Rekha, Yogita Bali, Feroz Khan, Vinod Mehra, Sanjay Khan, Anil Dhawan, Kabir Bedi, Premnath, Aruna Irani, Jagdeep, Prema Narayan, Neelam Mehra, Sulochana, Tun Tun, Maruti, Ranjeet, Anita Guha, Roopesh Kumar, Gulshan Arora, Master Bittu, Heena Kausar, Komila Virak, Satish Arora",Varma Malik,"Laxmikant Kudalkar, Pyarelal","Asha Bhosle, Kishore Kumar, Lata Mangeshkar, Mahendra Kapoor, Mohammed Rafi, Suman Kalyanpur","https://www.imdb.com/title/tt0074949, http://en.wikipedia.org/wiki/Nagin_%281976_film%29",https://www.youtube.com/watch?v=_OvFhuQL5Yw
Nagina,(1986),5,Harmesh Malhotra,Harmesh Malhotra,"Rishi Kapoor, Sridevi, Amrish Puri, Komal, Prem Chopra, Sushma Seth, Pinchoo Kapoor, Viju Khote, Guddi Maruti, Lalita Kumari, Baby Guddo, Manmouji, Jagdeep, Satyadevi, Rajan, Sheetal, Suresh",Anand Bakshi,Laxmikant Pyarelal,"Anuradha Paudwal, Kavita Krishnamurthy, Lata Mangeshkar, Mohammad Aziz","https://www.imdb.com/title/tt0091601, http://en.wikipedia.org/wiki/Nagina_(film)",
Namak Halaal,(1982),5,Prakash Mehra,Satyendra Pal,"Amitabh Bachchan, Smita Patil, Parveen Babi, Ranjeet, Shashi Kapoor, Om Parkesh, Dev Kumar, Waheeda Rehman, Ram Sethi, Dinesh Hingoo, Bob Christo, Tun Tun, Kamal Kapoor, Satyen Kappu, Viju Khote, Suresh Oberoi, Asha Lata, Chandrashekhar, Harish, Moolchand, Nandita Thakur",Anjaan,"Bappi Lahiri, Salil Chowdhary, Ramchandra","Asha Bhosle, Bappi Lahiri, Kishore Kumar, Shashi Kapoor","https://www.imdb.com/title/tt0084385, http://en.wikipedia.org/wiki/Namak_Halaal",
Namak Haraam,(1973),6,Hrishikesh Mukherjee,"Jayendra Pandya, Raja Ram, Satish Wagle","Rajesh Khanna, Rekha, Amitabh Bachchan, Simi Garewal, Asrani, Raza Murad, A K Hangal, Om Shiv Puri, Durga Khote, Manmohan, Kamal Deep, Manju, Lalita Kumari, Jay Shree T, Neelam, Darshan, Manisha",Anand Bakshi,R D Burman,"Asha Bhosle, Kishore Kumar, Usha Mangeshkar","https://www.imdb.com/title/tt0070434, http://en.wikipedia.org/wiki/Namak_Haraam",https://www.youtube.com/watch?v=da_4F2uXBLE
Namastey London,(2007),18,Vipul Shah,Vipul Shah,"Akshay Kumar, Katrina Kaif, Upen Patel, Rishi Kapoor, Javed Sheikh, Riteish Deshmukh, Tiffany Mulheron, Shaana Diya, Richard Field, Paul Williamson, Vipul Shah, Gurkirtan, Ranjeet Singh, Gurpreet Guggi, Neena Wadia, Elizabeth Holand, Paul Gregory, Neelam Bakshi, Jaswant Daman, Dimple Bagroy, Chandar Kalra, Dr Ranjeet, Paramjeet Pallu, Gogi Kohli, Jatiin Virmani, Kanchan Gupta, Pooja Dhillon, Amritpal Billa, Poonam Dhillion, Teji Sandhu, Rubina Singh, Vaishali Sharma, Gagan Duggal, Prem Punita, C",Javed Akhtar,Himesh Reshammiya,"Akruti Kakkar, Alisha Chinoy, Himesh Reshammiya, Jayesh Gandhi, Krishna, Rahat Fateh Ali Khan, Sunidhi Chauhan, Zubeen Garg","https://www.imdb.com/title/tt0795434, http://en.wikipedia.org/wiki/Namastey_London",
Naseeb,(1981),6,Manmohan Desai,Manmohan Desai,"Amitabh Bachchan, Hema Malini, Rishi Kapoor, Kim, Shatrughan Sinha, Reena Roy, Jeevan, Amjad Khan, Shakti Kapoor, Amrish Puri, Pran, Prem Chopra, Kader Khan, Lalita Pawar, Jagdish Raaj, Raj Kapoor, Dharmendra, Rakesh Roshan, Simi Garewal, Randhir Kapoor, Shammi Kapoor, Waheeda Rehman, Mala Sinha, Sharmila Tagore, Komila Virak, Vijay Arora, Bindu, Simple Kapadia, Dev Kumar, Indrani Mukherjee, Prema Narayan, Shobha Khote, Mohan Choti, Asrani, Bhagwan, Birbal, Dulari, Satyen Kappu, Viju Khote, Manm",Anand Bakshi,"Laxmikant Kudalkar, Pyarelal","Amitabh Bachchan, Anwar, Asha Bhosle, Kishore Kumar, Lata Mangeshkar, Mohammed Rafi, Rishi Kapoor, Suman Kalyanpur, Usha Mangeshkar","https://www.imdb.com/title/tt0082797, http://en.wikipedia.org/wiki/Naseeb_%28film%29",
Nastik,(1954),9,I S Johar,,"Ajit, Nalini Jaywant, Raj Mehra, Leela Mishra, Ulhas, I S Johar, Mumtaz Begum, Rajan Haksar, Mehmood, Roopmala, Shrinath, Kamala",Pradeep,"C Ramachandra, Datta Davjekar","Hemant Kumar, Lata Mangeshkar, Pradeep",https://www.imdb.com/title/tt0232166,"https://www.youtube.com/watch?v=-MLSugXUgCs, https://www.youtube.com/watch?v=GkZpOs5TOvY"
Nastik,(1983),8,Pramod Chakravorty,Vinod Doshi,"Amitabh Bachchan, Hema Malini, Pran, Amjad Khan, Deven Verma, Sarika, Madan Puri, Bharat Bhushan, Kamal Kapoor, Viju Khote, Bhagwan, Reeta Bhaduri, Jay Shree T, Shammi, Lalita Pawar, Tom Alter, Nalini Jaywant, Azad, Kuthiravattam Pappu, Master Rajesh Valecha, Master Ravi, Maneek Irani, Bob Christo, Parveen Paul, Kamran, Jaswant, Yusuf Khan, V Pahelwan, Sunil, Darshan, Saigal, Manik, Baby Pinky, Kavita Kiran",Anand Bakshi,"Kalyanji, Anandji","Asha Bhosle, Kishore Kumar, Mahendra Kapoor, Manhar Udhas, Alka Yagnik, Sadhna Sargam","https://www.imdb.com/title/tt0084393, http://en.wikipedia.org/wiki/Nastik_%28film%29",
Navrang,(1959),12,V Shantaram,Raj Kamal (2),"Mahipal, Sandhya, Agha, K Date, Vandana, Ulhas, Vatsala, Deshmukh, Chandrakant, Baburao Pendharkar",Bharat Vyas,C Ramachandra,"Asha Bhosle, Bharat Vyas, C Ramachandra, Mahendra Kapoor, Manna Dey","https://www.imdb.com/title/tt0298078, http://en.wikipedia.org/wiki/Navrang",
Naya Andaz,(1956),11,K Amarnath,,"Kishore Kumar, Meena Kumari, Gope, Pran, Kumkum, Murad, Jayant",Jan Nisar Akhtar,O P Nayyar,"Shamshad Begum, Kishore Kumar, Mohammad Rafi",https://www.imdb.com/title/tt0049545,"https://www.youtube.com/watch?v=bD22s1vh3UQ, https://www.youtube.com/watch?v=9jUP-8lSTbU"
Nazrana,(1961),7,C V Sridhar,"R M Palaniappam, S Krishnamoorty, T Govinda Rajan","Jamini Ganeshan, Raj Kapoor, Vyjayantimala, Usha Kiran, Sabia Chatterjee, Agha, Naranjan Sharma, Achla Sachdev, Master Shahid",Rajinder Krishan,Ravi,"Asha Bhosle, Lata Mangeshkar, Mohammed Rafi, Mukesh","https://www.imdb.com/title/tt0055220, http://en.wikipedia.org/wiki/Nazrana_(1961_film)",https://www.youtube.com/watch?v=Fd7FBRaCv88
No Entry,(2005),8,Anees Bazmee,"Boney Kapoor, Surinder Kapoor","Anil Kapoor, Salman Khan, Fardeen Khan, Esha Deol, Bipasha Basu, Celina Jaitly, Lara Dutta, Razzak Khan, Anjan Srivastava, Boman Irani, Pratima Kazmi, Sameera Reddy, Dinesh Hingoo, Paresh Ganatra, Yasmeen Khan",Sameer,Anu Malik,"Alisha Chinoy, Alka Yagnik, K K, Kumar Sanu, Sonu Nigam, Sunidhi Chauhan, Udit Narayan, Vasundhara Das","https://www.imdb.com/title/tt0451833, http://en.wikipedia.org/wiki/No_Entry",
Noorie,(1979),6,Manmohan Krishna,Yash Chopra,"Farooq Sheikh, Poonam Dhillon, Madan Puri, Iftekhar, Bharat Kapoor, Manmohan Krishan, Avtar Gill, Gita Siddharth, Padma Khanna, Javed Khan, Vikas Anand, Pardesi","Jan Nissar Akhtar, Naqsh Lyallpuri",Khayyam,"Asha Bhosle, Gunjan, Lata Mangeshkar, Mahendra Kapoor, Nitin Mukesh, Pamela Chopra","https://www.imdb.com/title/tt0309926, http://en.wikipedia.org/wiki/Noorie",https://www.youtube.com/watch?v=ItD_YjUlzuI
Naache Nagin Gali Gali,(1990),7,Mohanji Prasad,B K Jaiswal,"Nitish Bharadwaj, Meenakshi Seshadri, Sahila Chadda, Sadashiv Amrapurkar, Suhas Joshi, Satyen Kappu",Anjaan,"Kalyanji, Anandji","Alka Yagnik, Nitin Mukesh, Sadhna Sargam, Udit Narayan, Kalyanji, Anandji",https://www.imdb.com/title/tt0424298,
