Title,Year,Number of Songs,Film Director,Film Producer,Film cast,Lyricist,Music Director,Singer,External links,Watch Full Movie
Gunehgar,(1995),5,Vikram Bhatt,Kalyani Singh,"Mithun Chakraborty, Pooja Bhatt, Atul Agnihotri, Ram Shetty, Kiran Kumar, Mushtaq Merchant",,,,"https://www.imdb.com/title/tt0113237, http://en.wikipedia.org/wiki/Gunehgar_(1995_film)",
Haqeeqat,(1964),7,Chetan Anand,,"Dharmendra, Priya Rajvansh, Vijay Anand, Balraj Sahni, Jayant, Gulab, Sudhirm, Sanjay, Indrani Mukherjee, Sudhir",Kaifi Azmi,Madan Mohan,"Lata Mangeshkar, Mohammed Rafi, Talat Mahmood, Manna Dey, Bhupinder","https://www.imdb.com/title/tt0154565, http://en.wikipedia.org/wiki/Haqeeqat",https://www.youtube.com/watch?v=awFaVmQbwVQ
Heer Ranjha,(1970),8,Chetan Anand,Chetan Anand,"Raj Kumar, Priya Rajvansh, Jeevan, Ajit, Pran, Jayant, Tun Tun, Prithviraj Kapoor, Sonia Sahni, Ulhas, Baby Tabassum, Padma, Veena, Zeb Rehman, Nana Palsikar, Achla Sachdev, Niranajan Sharma, Kamini Kaushal, Padma Khanna, Sapru, Indrani Mukherjee, Dulari, Mumtaz Begum",Kaifi Azmi,Madan Mohan,"Balbir Bittu, Hemlata, Krishna K, Lata Mangeshkar, Mohammed Rafi, Noor Jahan, Shamshad Begum","https://www.imdb.com/title/tt0148266, http://en.wikipedia.org/wiki/Heer_Ranjha_%28film%29","https://www.youtube.com/watch?v=ImX3SSKXv6s, https://www.youtube.com/watch?v=3-e-SLXCjlM"
Hero,(1983),8,Subhash Ghai,Subhash Ghai,"Jackie Shroff, Meenakshi Seshadri, Sanjeev Kumar, Shammi Kapoor, Shakti Kapoor, Subhash Ghai, Urmila Bhatt, Bharat Bhushan, Bindu, Amrish Puri, Neeta Mehta, Madan Puri, Manek Irani, Suresh Oberoi, Ranjeet, K Date, Manjushree, Salim Khan, Monto",Anand Bakshi,"Laxmikant Kudalkar, Pyarelal","Anuradha Paudwal, Lata Mangeshkar, Manhar Udhas, Reshma, Suresh Wadkar",http://en.wikipedia.org/wiki/Hero_(1983_film),
House No. 44,(1955),8,M K Burman,Dev Anand,"Dev Anand, Kalpana Kartik, K N Singh, Bhagwan, Kammo, Kum Kum, Rashid Khan, Zambura, Sheela Vaz, Prabhu Dayal",Sahir Ludhianvi,S D Burman,"Asha Bhosle, Hemant Kumar, Kishore Kumar, Lata Mangeshkar","https://www.imdb.com/title/tt0048181, https://en.wikipedia.org/wiki/House_No._44","https://www.youtube.com/watch?v=QOjYfZ_FNCI, https://www.youtube.com/watch?v=BdGA4xzsXxI"
Howrah Bridge,(1958),8,Shakti Samanta,Shree shakti films,"Ashok Kumar, Madhubala, K N Singh, Helen, Dhumal, Om Parkesh, Kammo, Madan P, Sunder, Mehmood, Minu Mumtaz, Chaman Puri","Hasrat Jaipuri, Qamar",O P Naiyyar,"Asha Bhosle, Geeta Dutt, Mohammed Rafi, Shamshad Begum","https://www.imdb.com/title/tt0051747, http://en.wikipedia.org/wiki/Howrah_Bridge_%28film%29","https://www.youtube.com/watch?v=_u9MB1APfEc, https://www.youtube.com/watch?v=QPEA020xXaY"
Hum Aapke Hain Kaun,(1994),15,Sooraj Barjatya,"Kamal Kumar Barjatya, Rajkumar Barjatya, Sooraj Barjatya","Salman Khan, Madhuri Dixit, Renuka Shahane, Bindu, Anupam Kher, Alok Nath, Satish Shah, Himani Shivpuri, Laxmikant Berde, Dilip Joshi, Dinesh Hingoo, Ajit Vachchani, Priya Arun, Sahila Chadda, Mohnish Behl, Reema Lagoo, Pramod Kumar, Chhaya, Sudarshan",Dev Kohli,Ram Lakshman,"Kumar Sanu, Lata Mangeshkar, S.P.Balasubramaniam, Sharda (2)","https://www.imdb.com/title/tt0110076, http://en.wikipedia.org/wiki/Hum_Aapke_Hain_Kaun","https://www.youtube.com/watch?v=m-jC2YXVJFQ, https://www.youtube.com/watch?v=KFB7Y0BmpiQ"
Hum Dil De Chuke Sanam,(1999),11,Sanjay Leela Bhansali,"Jhamu Sughand, Sanjay Leela Bhansali","Salman Khan, Ajay Devgn, Aishwarya Rai, Zohra Sehgal, Vikram Gokhale, Smita Jaykar, Rekha Rao, Kenny Desai, Rajeev Varma, Kanu Gill, Amrik Gill, Vinay Pathak, Helen, Dimple Inamdar, Divya Jagdal, Sheeba Chaddha, Akash Karnataki, Milind Ukey, Jameel Khan","Mehboob, Sameer",Ismail Darbar,"Alka Yagnik, Dominique Cerejo, Hariharan, Jyotsana, K K, Karsan Sargathia, Kavita Krishnamurthy, Kumar Sanu, Mohd. Vakil, Salamat, Shankar Mahadevan, Udit Narayan, Ustad Sultan Khan, Vinod Rathod","https://www.imdb.com/title/tt0150992, http://en.wikipedia.org/wiki/Hum_Dil_De_Chuke_Sanam",
Hum Dono,(1961),7,Amarjeet,"Brij Mohan, Dev Anand","Dev Anand, Nanda, Sadhna, Lalita Pawar, Jagirdar, Rashid Khan, Leela Chitnis, Jagdish Raaj, Prabhu Dayal, Wasi Khan, Bhagwan Sinha, Ravikant, Prem Sagar, Ghulam Hussain",Sahir Ludhianvi,"Jaidev, Prabhakar Jog","Anup Jalota, Asha Bhosle, Lata Mangeshkar, Mohammed Rafi","https://www.imdb.com/title/tt0225961, http://en.wikipedia.org/wiki/Hum_Dono_%281961_film%29",https://www.youtube.com/watch?v=ruLdKqijp8Q
Hum Kisi Se Kum Naheen,(1977),10,Nasir Hussain,Nasir Hussain,"Rishi Kapoor, Kajal Kiran, Tariq, Amjad Khan, Kamal Kapoor, Om Shiv Puri, Murad, Vimal Ahuja, Master Bunty, Baby Rani, Leena Das, Tom Alter, Ajit, Zeenat Aman, S Banerji, Aarti, Nandita Thakur, Nitin Sethi, Agha, Jalal Aga, Ravindra Kapoor, Bhushan Tiwari, Ashoo, Sushma, Shefali, Rani, Arpana, Ratna, Yashraj, Ahmad Khan, Rajendra Singh, Amarjeet, Rajesh, Omi, Chandan, Maqsood",Majrooh Sultanpuri,R D Burman,"Asha Bhosle, Kishore Kumar, Mohammed Rafi, R D Burman","https://www.imdb.com/title/tt0076167, http://en.wikipedia.org/wiki/Hum_Kisi_Se_Kum_Naheen",
