Artists,Title,Rating,Number of Votes,Movie Title
Asha Bhosle,Chirmi Babul Ki Ladli (Part-2),4.67,3,Ek Baar Chale Aao
"Mohammed Rafi, Lata Mangeshkar",Tum Hee Tum Ho Mere Jivan Me,4.52,132,Ek Dil Sau Afsane
Mukesh,Kuchh Sher Sunata Hu Mai,4.74,77,Ek Dil Sau Afsane
Lata Mangeshkar,Ek Dil Aur Sau Afsane,4.53,83,Ek Dil Sau Afsane
Mukesh,Suno Jee Suno Hamaree Bhee Suno,4.72,29,Ek Dil Sau Afsane
Lata Mangeshkar,O Jaadugar Pyar Ke Ye Bata Dil Mera Kyon Tera Ho Gaya,4.64,22,Ek Dil Sau Afsane
Lata Mangeshkar,Dur Ke O Chanda Aa Meree Banho Me Aa,4.45,44,Ek Dil Sau Afsane
Mukesh,Mast Najar Dekh Idhar,4.24,25,Ek Dil Sau Afsane
"Kishore Kumar, Lata Mangeshkar",Totaa Mainaa Ki Kahaani To Puraani Puraani Ho Gai,4.44,54,Fakira
"Kishore Kumar, Lata Mangeshkar","Sunke Teri Pukar, Sang Chalne Ko Tere",4.45,29,Fakira
"Bhushan Mehta, Mahendra Kapoor, Aziz Nazan, Kishore Kumar",Hum To Jhuk Kar Salam Karte Hai,3.91,11,Fakira
"Hemlata, Mahendra Kapoor",Akelaa Chal Chala Chal Fakir Chal Chala Chal,4.75,8,Fakira
Asha Bhosle,Ye Mera Jadu Jor Hoke Kabu,2.80,5,Fakira
Lata Mangeshkar,"Dil Men Tujhe Bithaake, Kar Lungi Main Band Aankhen",4.11,107,Fakira
"Mahendra Kapoor, Hemlata",Fakira Chal Chala Chal,4.55,40,Fakira
"Lata Mangeshkar, Mohammed Rafi",Aadhi Sachhi Aadhi Jhuthi Teri Prem Kahani,4.00,13,Fakira
"Sunidhi Chauhan, Sonu Nigam, Aamir Khan",Mere Haath Mein Tera Haath Ho,4.23,824,Fanaa
"Babul Supriyo, Mahalakshmi Iyer",Chanda Chamke Cham Cham,4.31,147,Fanaa
"Kailash Kher, Shaan",Chand Sifarish Jo Karta Hamaree,4.13,338,Fanaa
Mahalakshmi Iyer,Des Rangila Rangila,4.11,239,Fanaa
"Sonu Nigam, Sunidhi Chauhan",Dekho Naa Dekho Naa,4.03,32,Fanaa
"Shaan, Kailash Kher",Fanaa For You (Club Mix),3.78,36,Fanaa
,Destroyed In Love (Lounge Mix),4.83,6,Fanaa
Shabbir Kumar,Jhanda Uncha Rahe Hamara,4.41,1200,Farishtay
Asha Bhosle,Jhanda Ooncha Rahe Hamara (Full Version),4.56,25,Farishtay
"Amit Kumar, Anuradha Paudwal",Is Sansar Mein Sabse Pyara Bhai Behan Ka Pyar,4.28,40,Farishtay
Amit Kumar,Is Sansar Mein Sabse Pyara Bhai Behan Ka Pyar (Sad),4.20,44,Farishtay
"Alka Yagnik, Shabbir Kumar",Apna Hai Raaj Phir Kahe Ka Raja,2.53,17,Farishtay
Amit Kumar,Thode Se Farishtay Thode Se Saitan,4.67,3,Farishtay
"Lata Mangeshkar, Mohammed Aziz",Tere Bina Jag Lagta Hai Suna,4.43,7,Farishtay
"Mohammed Aziz, Amit Kumar, Anuradha Paudwal",Bhai Bahen Ka Pyar (II),4.33,3,Farishtay
Lata Mangeshkar,Saat Kunwaron Mein Ek Kunwari Laaz Ki Mari,2.75,4,Farishtay
Mohammed Rafi,Happy Birthday To You Baar Baar Din Yah Aaye,4.46,357,Farz
"Suman Kalyanpur, Mohammed Rafi",Tumse O Hasina Kabhee Mohabbat Naa,3.98,485,Farz
Mohammed Rafi,Mast Baharo Kaa Mai Ashik,4.48,84,Farz
"Mukesh, Lata Mangeshkar",Ham Toh Tere Aashik Hain Sadiyo Purane,4.19,80,Farz
Lata Mangeshkar,"Dekho, Dekho Ji, Socho Ji Kuchh Samjho Ji",4.32,25,Farz
Asha Bhosle,Aaja Aaja Mere Paas,3.91,11,Farz
"Asha Bhosle, Kishore Kumar",Mere Ghar Ka Kiraya Do,3.86,7,Farz Aur Kanoon
"Shabbir Kumar, Suresh Wadkar, Asha Bhosle","Dil Ko Zara Sambhalo, Gam Na Gale Laga Lo",3.80,5,Farz Aur Kanoon
"Asha Bhosle, Shabbir Kumar",Jab Tak Pyaar Nahin Hota,3.67,3,Farz Aur Kanoon
"Asha Bhosle, Kishore Kumar",Naujawan Naujawaan Kya Tere Gaon Me,3.60,5,Farz Aur Kanoon
"Neha Bhasin, Mohit Chauhan",Kuchh Khaas Hai Kuchh Paas Hai,4.35,23,Fashion
"Sukhwinder Singh, Satya Hinduja, Robert Bob Omulo",Ye Jalwa Ye Jalwa Fashion Ka Hai Ye Jalwa,3.83,29,Fashion
"Salim Merchant, Shruti Pathak",Mar Jawan Tere Ishk Pe Mar Jawa,3.80,25,Fashion
Salim Merchant,Aashiyana Mera Hai Yaha,4.25,4,Fashion
"Mohit Chauhan, Neha Bhasin",Kuch Khaas Hai (Remix),3.71,7,Fashion
"Shruti Pathak, Salim Merchant",Mar Jawaan (Remix),3.50,4,Fashion
"Sukhwinder Singh, Satya Hinduja, Robert Bob Omulo",Fashion Ka Hai Ye Jalwa (Remix),3.00,6,Fashion
Salim Merchant,Aaashiyana (Remix),3.00,1,Fashion
,Theme Of Fashion,3.00,1,Fashion
,Theme Of Fashion(Remix),1.00,1,Fashion
Talat Mahmood,Shaam-E-Gham Ki Kasam,4.39,1118,Footpath
"Premlata, Talat Mahmood",Thandee Pawan Chale Sanjh Dhale,4.39,23,Footpath
Asha Bhosle,Kaisa Jadu Dala Re Balma Na Jane,4.19,26,Footpath
Asha Bhosle,Suhana Hai Ye Mausam,4.27,11,Footpath
Asha Bhosle,Piya Aaja Re Dil Mera Pukare,3.53,15,Footpath
Asha Bhosle,So Ja Mere Pyare So Ja,4.25,8,Footpath
Lehmber Hussainpuri,Jab Mai Chota Bacha Tha (Bhoot Aaya),4.17,136,F.A.L.T.U.
Jigar Saraiya,Awaaz Do Apne Dil Ko,4.30,30,F.A.L.T.U.
Hard Kaur,Char Baj Gaye Lekin Party Abhi Baaki Hai,3.91,33,F.A.L.T.U.
"Mika Singh, Hard Kaur",Aaltu Jalaaltu Aayi Bala Tu Taal Tu,3.84,38,F.A.L.T.U.
Neuman Pinto,Paas Ho Ke Bhi Mai Fail Ho Gaya (Percentage),4.46,13,F.A.L.T.U.
Jigar Saraiya,Ab To Nayee Subah Hone Koo Hai,4.50,2,F.A.L.T.U.
Atif Aslam,Le Ja Tu Mujhe,4.33,6,F.A.L.T.U.
"Neeraj Shridhar, Apeksha Dandekar",Rab Saa Sona Mera Yaar,4.33,3,F.A.L.T.U.
"Vijay Prakash, Priya Panchal",Gale Laga Le Zindagii,4.00,2,F.A.L.T.U.
Neeraj Shridhar,Beh Chala,3.00,1,F.A.L.T.U.
Jigar Saraiya,O Teri,3.00,1,F.A.L.T.U.
Sona Mohapatra,Lor Loree Loree Lal Lor Lor,4.15,27,Family
"Arnab Chakraborty, Sowmya Raoh",Qatra Qatra Jeeyenge Qatra Qatra,4.03,30,Family
"Sowmya Raoh, Arnab Chakravorty",Qatra Qatra (Remix),4.00,8,Family
Suhail Kaul,Pyar Bina Zindagi Bekaar Hain,3.33,6,Family
,Family (Theme),3.00,1,Family
"Sowmya Raoh, Madhushree, Suhail Kaul, Shailendra Singh, Arnab Chakraborty",Janam Janam Janam Janam,3.00,1,Family
Suhail Kaul,"Jine Do, Hamen Yeh Message Dene Do",3.00,1,Family
Arnab Chakravorty,Quick Byte,3.00,1,Family
Mukesh,"Zindagi Kya Hai, Yaado Ki Baraat, Jakhmo Ki Baraat",4.63,24,Faraar
"Lata Mangeshkar, Kishore Kumar",Mai Pyasa Tum Sawan (Duet),4.45,22,Faraar
Kishore Kumar,Mai Pyasa Tum Sawan,4.43,14,Faraar
"Usha Mangeshkar, Asha Bhosle",Humra Ye Dil Jaani,4.33,3,Faraar
Lata Mangeshkar,Main Pyasi Tum Sawan (Lata),4.29,7,Faraar
Sadhana Sargam,Aakhari Saans Tak Iss Dil Mein,3.66,131,Faraar
"Sadhna Sargam, Kumar Sanu",Dheere Dheere Haule Haule Aahista Aahista,4.58,12,Faraar
Kumar Sanu,Jawaan Jawaan Fijaayein Hai,4.50,2,Faraar
,"Zampu A Zampu, Na Meri Tu Saali Na Meri Gharwaali",4.00,2,Faraar
"Udit Narayan, Poornima",Gali Gali Shor Macha,3.00,1,Faraar
Udit Narayan,Meri Bekaraariyon Ko Karaar De De,4.50,4,Faraar
"Kishore Kumar, Asha Bhosle","Pyar Ka Wada Fifty Fifty, Kya Hai Irada Fifty Fifty",4.09,11,Fiffty Fiffty
Kishore Kumar,Dilwala Aaya Hai Sar Hatheli Par Rakh Kar,4.33,3,Fiffty Fiffty
Kishore Kumar,"Jaane Do Mujhe Yaaro, Mai Koun Tumhara Hu",4.29,7,Fiffty Fiffty
"Asha Bhosle, Amit Kumar",Chod Maza Haath Mala Pine De,4.00,8,Fiffty Fiffty
,Jhoomo Nacho Gao,3.13,8,Fiffty Fiffty
Asha Bhosle,"Jogan Ban Gayi Chod Ke, Main Sara Sansar",3.00,1,Fiffty Fiffty
Asha Bhosle,Pardesi O Pardesi,3.00,2,Fiffty Fiffty
"Geeta Dutt, Suman Kalyanpur, Mohammed Rafi",Hum Khoob Jaante Hai Kya Dil Me Hai Tumhare,3.94,132,Film Hi Film
Mohammed Rafi,Humne Jinke Khwab Sajaye Aaj Wo Mere Samne Hai,4.35,17,Film Hi Film
Kishore Kumar,"Jeene Ki Ek Ada Hai, Hamko To Ek Nasha Hai",3.86,14,Film Hi Film
"Manna Dey, Mohammed Rafi",Suno Ae Duniya Walo Ek Naya Paigam Laaya Hu,4.71,7,Film Hi Film
"Mohammed Rafi, Lata Mangeshkar",Ye Chehra Ye Zulfe Jaadu Sa Kar Rahe Hai,4.67,9,Film Hi Film
"Mohammed Rafi, Asha Bhosle",Kitna Rangin Hai Ye Chand Sitaro Ka Sama,4.44,9,Film Hi Film
Asha Bhosle,Aadmi Ko Jeena Hai,4.33,3,Film Hi Film
Manna Dey,Hanskar Hansa,4.33,3,Film Hi Film
"Bappi Lahiri, Usha Uthup",Superstar Banenge,4.20,5,Film Hi Film
Asha Bhosle,"Idhar To Dekho, Ek Nazar To Dekho",4.33,3,Film Hi Film
Yo Yo Honey Singh,Yeh Fugly Fugly Kya Hai,4.20,153,Fugly
"Raftaar, Aastha Gill, Badshah",Dhup Chik,4.08,156,Fugly
Yo Yo Honey Singh,Banjare,4.30,91,Fugly
"Arijit Singh, Pavni Pandey",Dhuan Si Hai Zindagi,3.88,25,Fugly
"Prashant Vadiyar, Pavni Pandey, Santokh Singh",Lovely Jind Wali,4.27,15,Fugly
"Prashant Vadiyar, Pavni Pandey, Aman Trikha",G Pe Danda De,3.08,12,Fugly
"Rajeev Sundaresan, Prashant Vadiyar, Sunayana Sarkar Dasgupta",Good In Bed,3.71,7,Fugly
"Sanjeevani, Chithra K S",Dhuan Dhuan Sa Sama,4.44,16,Fun2ssh
"K. K., Shaan","Mine, You Will Be Mine",4.29,17,Fun2ssh
Usha Uthup,Fun2Shh,3.50,2,Fun2ssh
Kunal Ganjawala,Fun2Shh (2),3.00,1,Fun2ssh
"Nitin Raikwar, Vinod Rathod, Kunal Ganjawala","Ik Pe Duka To Duke Pe Tika, Hum Hain Fun2Shh",3.00,1,Fun2ssh
"Sonu Nigam, Farida Jalal, Paresh Rawal, Iqbal Khan, Anuj Sawhney, Sudesh Bhosle","Sab Ki Mastiya Behisab Hai, Na Jane Kyu Bs Apna Time Kharab Hai",1.00,1,Fun2ssh
Suman Kalyanpur,"Aye Zindagi Ke Saathi, Jaana Na Jindagi Se",3.69,314,Fareb
Suman Kalyanpur,Hum Chup Hai Isliye Ki,3.31,274,Fareb
Mukesh,Naaz Tha Jis Par Mujhe,4.09,22,Fareb
"Mukesh, Usha Khanna",Naaz Thaa Jisape Mere Sine Men Vo Dil Hi Nahin,4.62,13,Fareb
"Hemlata, Manhar Udhas, Usha Timothy",Hata De Ghunghat Dikhade Mukhda,4.00,3,Fareb
"Krishna Kalle, Hemlata",Ban Jao Tum Mehmaan Mere Dil Ke,3.25,4,Fareb
Suman Kalyanpur,Naaz Tha Jis Par Mujhe (Female),2.78,9,Fareb
"Manna Dey, Bhupinder Singh",Arre Ha Jalao Deep,1.00,1,Fareb
Pankaj Udhas,"Dil Jabse Tut Gaya, Kaise Kahe Kaise Jite Hai",3.79,229,Film Hits - Pankaj Udhas
Pankaj Udhas,Log Barso Juda Hoke Jite Hai,4.05,39,Film Hits - Pankaj Udhas
Pankaj Udhas,Main Tere Saath Hoon,4.47,19,Film Hits - Pankaj Udhas
Pankaj Udhas,Mai Divana Hu Mujhe Dillagee Ne Mara Hai,4.75,8,Film Hits - Pankaj Udhas
Pankaj Udhas,Aisa Bhee Ek Jamana Aata Hai Aashikee Me,4.50,2,Film Hits - Pankaj Udhas
Pankaj Udhas,Bada Ajib Mohabbat Kaa Yeh Fasana Hai,4.33,3,Film Hits - Pankaj Udhas
Pankaj Udhas,Hamne Khamoshee Se Tumhe Dil Me Basaya Hain,4.00,2,Film Hits - Pankaj Udhas
Pankaj Udhas,Kisine Bhee Toh Naa Dekha Nigah Bharke Mujhe,3.00,1,Film Hits - Pankaj Udhas
Pankaj Udhas,Dil Deta Hai Ro Ro Duhaai,4.00,29,Film Hits - Pankaj Udhas
Alka Yagnik,Dil To Milte Hai Bichadne Ke Liye,3.33,70,Footpath
"Alka Yagnik, Abhijeet",Kitna Pyara Pyara Hai Sama,4.20,25,Footpath
"Alka Yagnik, Kumar Sanu",Dost Milte Hain Bichhadne Ke Liye,4.00,45,Footpath
"Asha Bhosle, S P Balasubramaniam",Chain Aapko Mila Mujhe Diwaangi Mili,4.53,15,Footpath
"K. K., Jayesh Gandhi, Hema Sardesai",Surat Pe Teri Pyaar Aave,4.33,12,Footpath
"Alka Yagnik, Udit Narayan",Jara Dekh Mera Diwanapan,4.31,16,Footpath
"Udit Narayan, Alka Yagnik",Sari Rat Teri Yad Mujhe Aati Rahi,4.00,18,Footpath
Sona Mohapatra,Ambarsariya,4.28,81,Fukrey
"Keerthi Sagathia, Clinton Cerejo, Ram Sampath",Rabba Aur Saha Na Jaaye,4.30,20,Fukrey
"Ram Sampath, Amjad Bagadwa",Fuk Fuk Fukrey (Title Song),4.08,12,Fukrey
"Tarannum Mallik, Mika Singh",Bedaa Paar,4.50,4,Fukrey
"Tarannum Mallik, Ram Sampath",Lag Gayi Lottery Khule Saare Band Taale,4.33,3,Fukrey
"Keerthi Sagathia, Kailash Kher",Kar Le Jugad Kar Le,4.14,7,Fukrey
Faakhir Mehmood,Din Me Teri Yaad,4.33,3,Faakhir Mantra
Faakhir Mehmood,Jiya Na Jane,4.00,2,Faakhir Mantra
Faakhir Mehmood,Ye Dil Ab Tera Ho Gaya,4.00,2,Faakhir Mantra
Faakhir Mehmood,Kaash Hum Juda Na Hote,3.50,2,Faakhir Mantra
Faakhir Mehmood,Jiya Na Jaye (Ii),3.00,1,Faakhir Mantra
Faakhir Mehmood,Juthiya Preetan,3.00,1,Faakhir Mantra
Faakhir Mehmood,Kya Hua ( Mantra),3.00,1,Faakhir Mantra
Faakhir Mehmood,Mahi Vey,3.00,1,Faakhir Mantra
Faakhir Mehmood,Muft Badnaam Huye (Kudi),3.00,1,Faakhir Mantra
Faakhir Mehmood,Sab Ton Sohniye,3.00,1,Faakhir Mantra
Faakhir Mehmood,Tauba Hai Tauba Hai,3.00,1,Faakhir Mantra
Jaspal Singh,"Mangal Bhavan Amangal Hari, Drabahu Sudasarath Achar Bihaari",4.43,322,Geet Gaata Chal
"Aarti Mukherjee, Jaspal Singh",Shyaam Teri Bansi Pukaare Raadhaa Naam,4.27,199,Geet Gaata Chal
Jaspal Singh,Git Gaataa Chal O Saathi Gunagunaataa Chal,4.15,144,Geet Gaata Chal
Jaspal Singh,Dharti Meri Mata Pita Aasmaan,4.47,45,Geet Gaata Chal
Kishore Kumar,Bachpan Har Gham Se Begana Hota Hai,4.40,35,Geet Gaata Chal
Aarti Mukherjee,"Main Vahi Darpan Vahi, Na Jane Ye Kya Ho Gaya",4.35,34,Geet Gaata Chal
Aarti Mukherjee,Kar Gaya Kaanha Milan Ka Vaada,4.22,27,Geet Gaata Chal
"Jaspal Singh, Chetan, Hemlata",Mohe Chhota Mila Bhartaar,3.82,22,Geet Gaata Chal
"Asha Bhosle, Mohammed Rafi",Shyaam Abhimaani O Shyaam Abhimaani,4.08,13,Geet Gaata Chal
"Mohammed Rafi, Lata Mangeshkar",Jeevan Me Piya Tera Sath Rahe,4.76,137,Goonj Uthi Shahnai
Lata Mangeshkar,"Tere Sur Aur Mere Geet, Dono Mil Kar Banegi Preet",4.49,101,Goonj Uthi Shahnai
Mohammed Rafi,Kah Do Koi Na Kare Yaha Pyaar,4.38,135,Goonj Uthi Shahnai
"Lata Mangeshkar, Mohammed Rafi","Teri Shehnai Bole, Sunke Dil Mera Dole",4.63,54,Goonj Uthi Shahnai
Lata Mangeshkar,"Dil Kaa Khilauna, Haye Tut Gaya",4.46,80,Goonj Uthi Shahnai
Mohammed Rafi,"Maine Pina Sikh Liya, Paap Kaho Ya Punya Kaho",4.31,71,Goonj Uthi Shahnai
"Lata Mangeshkar, Geeta Dutt",Akhiyan Bhul Gayee Hain Sona,4.64,39,Goonj Uthi Shahnai
"Mohammed Rafi, Lata Mangeshkar",O Haule Haule Ghunghat Pat Khole,4.36,36,Goonj Uthi Shahnai
"Lata Mangeshkar, Kishore Kumar","Gaataa Rahe Meraa Dil, Tu Hi Meri Manzil",4.44,736,Guide
Sachin Dev Burman,Vahaan Kaun Hai Teraa Musaafir Jaayegaa Kahaan,4.49,209,Guide
Mohammed Rafi,Tere Mere Sapne Abb Ek Rang Hain,4.45,310,Guide
Mohammed Rafi,Din Dhal Jaye Haye Rat Na Jaye,4.43,337,Guide
Mohammed Rafi,"Kya Se Kya Ho Gaya, Bewafa Tere Pyar Me",4.41,174,Guide
Lata Mangeshkar,"Piya Tose Naina Lage Re, Naina Lage Re",4.36,225,Guide
Lata Mangeshkar,"Kanto Se Khich Ke Ye Aanchal, Aaj Phir Jeene Ki Tamanna Hai",4.35,347,Guide
Lata Mangeshkar,Mose Chhal Kiye Jaye Hay Re Dekho Saiyya Beiman,4.32,96,Guide
Sachin Dev Burman,"Allaah Megh De, Paani De Chhaayaa De",4.22,50,Guide
,Dance Music (Guide),3.67,3,Guide
Manna Dey,Jai Jai Ram Sita Ram,4.71,21,Guide
"Alka Yagnik, Udit Narayan",O Ghar Aajaa Paradesi,4.45,151,Gadar - Ek Prem Katha
Udit Narayan,Main Nikla O Gaddi Leke,4.09,54,Gadar - Ek Prem Katha
"Ajay Chakravarti, Parveen Sultana","Aan Milo Sajna, Ankhiyo Me Na Aaye Nindiya",4.33,42,Gadar - Ek Prem Katha
"Udit Narayan, Alka Yagnik",Udja Kaale Kaawan Tere,4.31,29,Gadar - Ek Prem Katha
"Preeti Uttam, Udit Narayan",Ham Juda Ho Gaye Raste Kho Gaye,3.95,21,Gadar - Ek Prem Katha
"Udit Narayan, Preeti Uttam",Musafir Jane Wale Nahee Phir Aane Wale,3.91,33,Gadar - Ek Prem Katha
Udit Narayan,Udja Kale Kawan Tere,3.80,45,Gadar - Ek Prem Katha
Preeti Uttam,"Saadde Te Vede Butaa Angur Daa, Jodi E Jachadi Nai",4.53,17,Gadar - Ek Prem Katha
Lata Mangeshkar,Mano To Main Ganga Maa Hoon,4.10,144,Ganga Ki Saugand
Mohammed Rafi,Chal Musafir Teri Manjil Dur,4.22,32,Ganga Ki Saugand
"Kishore Kumar, Asha Bhosle",Aankh Ladi Toh Dhano Rani,3.70,10,Ganga Ki Saugand
Lata Mangeshkar,Tune Har Raat Mohabbat Ki Kasam Khai Hai,3.50,16,Ganga Ki Saugand
"Mohammed Rafi, Aarti Mukherjee, Amit Kumar",Dekho Sapne Saje,4.50,6,Ganga Ki Saugand
Lata Mangeshkar,Maano To Main Gangaa Maan Hu (Sad),4.11,9,Ganga Ki Saugand
Kishore Kumar,Roop Jab Aisa Mila Aisi Aada Kaise Na Ho Bhari Botal Jawani Ki,4.11,9,Ganga Ki Saugand
Labh Janjua,Chori Chori Chori Chori Dil Le Gayi,4.10,10,Garam Masala
Adnan Sami,Teri Aankhein Garam Masala,3.80,10,Garam Masala
Sonu Nigam,Ada Aay Haay Ada,4.75,4,Garam Masala
Adnan Sami,Kiss Me Baby,4.33,3,Garam Masala
"Hema Sardesai, Sukhwinder Singh",Choree Choree Choree Choree Dil Le Gaya,4.00,3,Garam Masala
Sonu Nigam,Falak Dekhu Jamin Dekhu Jaha Dekhu,3.88,8,Garam Masala
"K. K., Sunidhi Chauhan","Dil Samundar Dil Meraa, Dil Samundar Ho Aa Duba Du Tujhko",2.67,3,Garam Masala
Sonu Nigam,Ada Aay Haay Ada (Remix),3.00,1,Garam Masala
Asha Bhosle,"Tere Khayalon Mein Hum, Teri Hi Baho Me Gum",4.50,180,Geet Gaaya Pattharon Ne
Kishori Amonkar,"Saanson Ke Taar Par, Geet Gaya Pathro Ne",4.41,128,Geet Gaaya Pattharon Ne
C. H. Atma,Ho Saath Agar Pahlu Me Ek Mast-Ae-Sabab,4.68,34,Geet Gaaya Pattharon Ne
"Mahendra Kapoor, Asha Bhosle","Saanson Ke Taar Par, Dhadkan Ki Tal Par",4.51,43,Geet Gaaya Pattharon Ne
"Mahendra Kapoor, Asha Bhosle",Aaiye Padhariye,4.10,20,Geet Gaaya Pattharon Ne
Asha Bhosle,"Aa Ja, Janeja Mere Meharaban",4.50,14,Geet Gaaya Pattharon Ne
Asha Bhosle,Janewale O Mere Pyar,4.29,14,Geet Gaaya Pattharon Ne
C. H. Atma,Ek Pal Jo Mila Hai,3.80,5,Geet Gaaya Pattharon Ne
Asha Bhosle,Raat Naujawaan,3.20,5,Geet Gaaya Pattharon Ne
Bappi Lahiri,Aana Jana Laga Rehega 1,4.35,20,Geraftaar
"Kishore Kumar, Asha Bhosle",Dhup Mein Nikalaa Na Karo Rup Ki Raani,4.35,26,Geraftaar
"Bappi Lahiri, Shabbir Kumar",Aana Jaana Laga Rehega Dukh Jayega Sukh Aayega,4.36,11,Geraftaar
Shabbir Kumar,Khul Jaayega Kismat Ka Taala,4.33,6,Geraftaar
"Asha Bhosle, Mohammed Aziz","O Dil Se Dil Ki Pappi, Ke Meri Kismat Sawaar De",3.33,3,Geraftaar
"Mohammed Aziz, Kishore Kumar",Yaron Pe Kurban Hone Yaar Aaye Hai,4.50,4,Geraftaar
"Shreya Ghoshal, Benny Dayal",Kaise Mujhe Tum Mil Gayi,4.25,84,Ghajini
"Sonu Nigam, Javed Ali",Hai Guzaarish,4.07,46,Ghajini
Karthik,Behaka Behaka Main Behaka Behaka,3.88,17,Ghajini
Suzanne D Mello,Aye Bachchu Tu Sun Le,3.70,10,Ghajini
,Kaise Mujhe Tum Mil Gayi (Instrumental),3.89,9,Ghajini
Shreya Ghoshal,Latoo Latoo Latoo Main Usape Latoo,3.67,3,Ghajini
Kishore Kumar,Sama Hai Suhana Suhana Nashe Mein Jahan,4.46,237,Ghar Ghar Ki Kahani
Lata Mangeshkar,Jai Nandlala Jai Jai Gopala,4.38,24,Ghar Ghar Ki Kahani
Hemlata,"Chuna Lagake Chhoduga, Aisa Banoonga Actor Main Yaro",3.92,12,Ghar Ghar Ki Kahani
Mahendra Kapoor,Suno Sunata Hoon Tumhe,3.67,3,Ghar Ghar Ki Kahani
Lata Mangeshkar,Aise Na Dekho Kanha,3.57,7,Ghar Ghar Ki Kahani
"Anu Malik, Shankar Mahadevan, Alka Yagnik",Koi Jaye To Le Aaye Meri Lakh Duaye Paye,4.34,56,Ghatak
"Suresh Wadkar, Sadhana Sargam",Nigaho Ne Chheda Hai Dil Ka Tarana,4.28,25,Ghatak
Kavita Krishnamurthy,Badan Mein Chandni Ada Mein Ragini,4.78,9,Ghatak
Asha Bhosle,Aaki Naaki,4.50,4,Ghatak
"Sadhana Sargam, Suresh Wadkar",Ek Dil Ki Deewani Aur Diwana Dil,3.33,3,Ghatak
,Ghatak Theme,1.00,1,Ghatak
"Lata Mangeshkar, Shabbir Kumar",Jihaal E Masti Makun Ba Ranjish,4.47,417,Ghulami
Lata Mangeshkar,Mere Pee Ko Pawan Kis Gali Le Chali,4.17,35,Ghulami
Lata Mangeshkar,"Mere Peeko, Zehar Hai Raat",4.23,13,Ghulami
Lata Mangeshkar,Waqt Beeja Tha,4.00,15,Ghulami
"Suresh Wadkar, Shabbir Kumar, Manhar Udhas",Peele Peele Sharab Hai Peele Peele,4.67,6,Ghulami
"Alka Yagnik, Udit Narayan",Laal Chunariya Odhali Maine Jabse Piya Ke Naam Ki,4.44,27,God Tussi Great Ho
"Amrita Kak, Wajid Khan","Tujhe Aksa Beach Ghuma Du, Aa Chalti Kya",4.60,10,God Tussi Great Ho
"Neeraj Shridhar, Shreya Ghoshal",Tumko Dekha Tha Kabhi Maine Khwabo Mein Sanam,4.50,2,God Tussi Great Ho
"Amrita Kak, Wajid Ali",Tujhe Aksa Beach Ghuma Du (Remix),4.22,9,God Tussi Great Ho
"Shankar Mahadevan, Sonu Nigam",O God Tussi Great Ho,4.17,6,God Tussi Great Ho
"Sunidhi Chauhan, Shaan","Lets Party Forever, Everybody Lets Do Together",2.67,3,God Tussi Great Ho
"Shankar Mahadevan, Sonu Nigam",God Tussi Great Ho (Remix),3.00,1,God Tussi Great Ho
"Sunidhi Chauhan, Shaan",Lets Party Forever (Remix),3.00,1,God Tussi Great Ho
Kishore Kumar,Aanewala Pal Jane Wala Hai,4.50,423,Golmaal
"R D Burman, Sapan Chakravarthy",Gol Maal Hai Bhai Sab Gol Maal Hai,4.60,25,Golmaal
Lata Mangeshkar,Ek Baat Kahu Gar Maano Tum,3.67,18,Golmaal
"Kishore Kumar, Amit Kumar",Ek Din Sapne Me Dekha Sapna,4.71,7,Golmaal
"Shekhar, Sneha Pant","Kyon Aage Pichhe Dolate Ho, Bhanwaro Kee Tarah",4.33,30,Golmaal - Fun Unlimited
"Vishal Dadlani, K. K., Shaan","Golmaal O O O Dal Me Kala, Ya Phir Kale Me Dal",4.31,13,Golmaal - Fun Unlimited
"K. K., Shaan, Vishal Dadlani","Golmal Golmal, Everything Is Gonna Be Golmal",4.67,6,Golmaal - Fun Unlimited
"Vishal Dadlani, Anushka Manchanda",Golmaal Golmaal (Remix 2),4.00,2,Golmaal - Fun Unlimited
"K. K., Shaan, Vishal Dadlani","Golmal Golmal, Everything Is Gonna Be Golmal",3.80,5,Golmaal - Fun Unlimited
"Vishal Dadlani, Kunal Ganjawala",Mast Malang Mast Malang O O,3.67,3,Golmaal - Fun Unlimited
"Vishal Dadlani, Anushka Manchanda",Golmaal Golmaal (Remix),3.50,2,Golmaal - Fun Unlimited
"Javed Ali, Sunidhi Chauhan",Reh Ja Reh Ja Re,3.50,4,Golmaal - Fun Unlimited
"Javed Ali, Sunidhi Chauhan",Rehja Raheja Re ( Remix),3.50,2,Golmaal - Fun Unlimited
"Kunal Ganjawala, Vishal Dadlani",Mast Malang (Remix),3.50,2,Golmaal - Fun Unlimited
Anushka Manchanda,Tu Saala Kaam Se Gaya,3.40,10,Golmaal Returns
Anushka Manchanda,Tu Sala Kaam Se Gaya (Remix),4.60,5,Golmaal Returns
"Suhail Kaul, Suzanne D Mello, Neeraj Shridhar",Vacancy,4.25,4,Golmaal Returns
"Suzanne D Mello, Monali",Meow,4.00,2,Golmaal Returns
"Neeraj Shridhar, Earl Edgar D Souza","Tha Tha Kar Ke, Chal Hat Ja Re Na Panga Le",3.88,8,Golmaal Returns
Suzie Q,Meow (English Version),3.00,1,Golmaal Returns
